Sr. No.,Company,Company profile/ Product,Website,Application Status,Possition,Through,Date
1,Aarti Industries,"chemical, MNC, 10 years old",Aarti Industries Limited (darwinbox.in),,,,
2,ABB,Electrical Equimpment supplier MNC,Your job search results - ABB Career portal | ABB Career (careers.abb),,,,
3,Aditya Birla Group,Hindalco part of ABG,Aditya Birla Group Careers,,,,
4,Aditya Forge,"por GIDC, Seamless fittings SS",Aditya Forge | Forging Company Vadodara ? Forging Company Vadodara,,,,
5,Air Products,"Liquified NG plants, 80years, 56 contries",Company Overview | Air Products,,,,
6,Atlas Copco,compressor ,Jobs - Atlas Copco India,,,,
8,Elcen Machines Pvt. Ltd,Electric motors,"ELCEN Machines Pvt. Ltd., Vadodara, Gujarat, INDIA - Electric Motor Manufacturer",,,,
9,Engineers India Ltd.,"Oil & Gas, Pipelines, Mines, Ports",Applying to EIL | Engineers India Ltd,,,,
10,Flextherm,"small industry, expansion joints metalic & non metalic","We manufacture Metallic Expansion Bellows, Non Metallic Expansion Bellows (Fabric & PTFE) , Rubber Expansion Bellows, Stainless Steel Hose, Cross over pipe & Industrial Dampers (flexatherm.com)",,,,
11,GE Renewable Energy,hydro solutions for power at vadodara,"Wind, Hydro, Solar and Hybrid Power | GE Renewable Energy",,,,
13,General Mechanical Works Pvt. Ltd.,"since last 30 years, Heavy engineering Desing & projects in india & abroad",Careers | GMW Pvt. Ltd.,,,,
14,Gujarat Narmada Valley Fertilizers & Chemicals,chemical,Career ? Gujarat Narmada Valley Fertilizers & Chemicals Limited (gnfc.in),,,,
15,Gujarat State Fertilizers & Chemicals,chemical,Careers (gsfclimited.com),,,,
16,Hindalco,"Aluminium & copper, india's largest manufacturing unit",Careers - Hindalco,,,,
17,Hindusthan Petroleum,"Oil, gas","Job Openings | Official Website of Hindustan Petroleum Corporation Limited, India",,,,
18,Hitachi Energy,Electrical Equimpment supplier MNC,Hitachi Energy Career Opportunities | Hitachi Energy,,,,
19,Indian Engineering Company,Service Provider of motor & pump,Indian Engineering Company (iecindia.co.in),,,,
21,Jyoti Ltd.,"Electrical Equimpment supplier, Switchgear",:: Jyoti Ltd. ::,,,,
22,L&T Power,power development,Careers | Power Development Limited | L&T India (lntpowerdevelopment.com),,,,
23,L&T Technology Services,Projects,Careers | L&T Technology Services | L&T India (ltts.com),,,,
25,Linde Engineering,Engineering,Linde | Current Openings (leionline.in),,,,
26,OILFIELD EQUIPMENTS PVT. LTD,Manufacturer of shlush pumps,"slush pump expendables, mud pump expendables manufacturer india (oilfieldequipments.com)",,,,
27,Quanta (India),Project management for Oil & Gas sector,Current Openings - Quanta (quantaprocess.com),,,,
29,Sanghvi Forging & Engineering Ltd (SFEL),manufacturing and marketing of forged flanges & Heavy forgings,(2) Sanghvi Forging and Engineering Ltd: Overview | LinkedIn,,,,
31,Tbea Energy,Cables & new Energy and Projects,About TBEA India | TBEA Energy (India) Private Limited,,,,
32,UPL,Consultancy career,https://careers.upl-ltd.com,,,,
33,Vijay Tanks & Vessels,Tanks & vessels,Careers - Vijay Tanks & Vessels Pvt. Ltd,,,,
34,WAPCOS Ltd,Consultant for commissining & gov undertaken,WAPCOS | International Consultants | Water Resources | Power & Infrastructure Development,,, ,
,INOX INDIA PVT. LTD,Manufacturing of cryogenic Equipments,,,,,
35,Aarvi Encon Limitedÿ,"manpower, services, solutions",Aarvi Encon Jobs ? Job Vacancies in Aarvi Encon | Aarvi Encon,,,,
36,Ankur Scientific Energy Technologies,"waste management, bio mass",Ankur Scientific Energy Technologies - Ankur Scientific,,,,
38,Cadmaxx Solutions,"CAD CAM, design",Careers ? CADMAXX Solutions,,,,
39,CIEL HR,Consultancy,,,,,
40,Emtici Engineering,Marketing & serveying,,,,,
41,Environ Engineering,ETP,"Effluent Treatment Plant, Sewage & Water Treatment Plant, Aerators (environengg.com)",,,,
42,Huntsman,Chemical like Coatings,Careers :: Huntsman Corporation (HUN),,,,
43,Indutch Composites Technology,Design & Products for wind & arospace equipments,Career ? Indutch Composites Technology Pvt. Ltd.,,,,
44,INEOS Styrolution,"styrene monomer, polystyrene",https://jobs.ineos-styrolution.com,,,,
45,Lupin,power of science in improving health outcomes.,Careers - Lupin,,,,
46,Metso Outotec,Mining engineering solutions ,Careers - Metso Outotec (mogroup.com),,,,
47,Nikkiso Cryogenic Industriesÿ-,"Cryogenic pumps, process systems, services",Products - Nikkiso (nikkisoceig.com),,,,
48,Oerlikon,coating provider,Careers | Oerlikon,,,,
49,PI Industries,agro chemical manufacturer,PI Industries : Openings,,,,
50,Qualimark Machines,Food Processing Machine,https://www.qualimarkmachines.com,,,,
51,Rockman Industries,leading Aluminium die casting components,RAQ infra pvt. ltd. Towards Excellence in Project and Construction Management Industry.,,,,
52,Schneider Electric,Electrical Equipments,Schneider Electric India | Global Specialist In Energy Management (se.com),,,,
53,Spectra Dynamics,Design company for hydrocarbon,Spectra Dynamics - Careers (specdynamics.com),,,,
54,Steel Smith Continental Manufacturing PVT LTD,Sheetmetal & Fabrication of OEM,"Steel Building Solutions Provider, Sheet Metal Fabrication, Electrical Panels, Structural Fabrication (steelsmith.co.in)",,,,
55,Sterling Biotech,Pharma products,:: STERLING Biotech Ltd. ::,,,,
56,Turbo Energy,Manufacturer of turbo charger (automobile equioments),About Turbo Energy Limited Jobs ? Jobs in Turbo Energy Limited ? Career in Turbo Energy Limited ? Job Openings in Turbo Energy Limited | Turbo Energy Limited,,,,
57,Valiant Organics,"Chemicals for dif industry Cosmetics, pharma, dyes, agri ",Products | Valiant Organic Ltd. (valiantorganics.com),,,,
58,Xylem Inc.,"Water Solutions, Consultant",Explore Xylem Careers | Xylem US,,,,
59,Yokohama Tire,Tyre manufacturer,Join Our Team | Yokohama Tire,,,,
,Ingersol Rand,,,,,,
7,Baroda Equipment and Vessels,"Pressure Vessels, HE",Baroda Equipment and Vessels Private Limited ? Where excellence is a way of life,done,"Senior Manager, Projects",mail,22-08-2022
12,GEA Group,Gea For food & dairy Projects,Careers (gea.com),Rejected,Project Manager,Naukari,20-08-2022
24,Larsen & Toubro,Projects & engineering,Careers | L&T Corporate | L&T India (larsentoubro.com),done,"Manager, Projects",website,20-08-2022
28,Reliance Industries,,Careers | Reliance Industries Limited (ril.com),Done,Sr. Const Engineer Mechanical ( 80346837 ),website,23-08-2022
30,"Sun Pharmaceutical Industries, Inc.",pharmatuticals,Careers | Work with Us - Sun Pharmaceutical,Done,Project Manager,To Dr. Shivam,23-08-2022
,Ingersol Rand,Manufacturing Air Compressor,,done,"Manager, Projects",website,23-08-2022
20,Jord International,"Design & construction oil & gas, Chemical","Jord Opportunities | Engineering, Design, Contract, Firms and Full Time",done,put resume,website,19-08-2022
37,Axtel Industries Ltd,"Food & pharma, chemical",Axtel Industries Limited (axtelindia.com),done,"Manager, Projects",website,19-08-2022
